10998	SLC27A5
10999	SLC27A4
23658	LSM5
391051	Urate oxidase
23659	LYPLA3 (gene)
63922	CHTF18
25797	QPCT
6873	TAF2
23654	PLXNB2
10990	LILRB5
390442	OR11H4
6874	TAF4
6871	TADA2L
10991	SLC38A3
390445	OR5AU1
23657	SLC7A11
10992	SF3B2
6872	TAF1
23650	TRIM29
6870	Tachykinin receptor 3
6869	Tachykinin receptor 1
2950	GSTP1
6868	ADAM17
2953	GSTT2
25794	FSCN2
535	ATPase, H+ transporting, lysosomal V0 subunit a1
6867	TACC1
63916	ELMO2
63915	MUTED
1822	ATN1
2952	GSTT1
25793	FBXO7
534	ATP6V1G2
6866	TAC3
25792	CIZ1
6865	Tachykinin receptor 2
533	ATP6V0B
63917	GALNT11
2954	GSTZ1
1820	ARID3A
2957	GTF2A1
539	ATP5O
1825	DSC3
2956	MSH6
538	ATP7A
2959	Transcription factor II B
1823	DSC1
537	ATP6AP1
1824	DSC2
1829	Desmoglein 2
1827	DSCR1
1828	Desmoglein 1
147945	NLRP4
90627	STARD13
23649	POLA2
23647	ARFIP2
140564	APOBEC3D
23648	SSBP3
6882	TAF11
23645	PPP1R15A
6883	TAF12
390433	OR4K13
6884	TAF13
23643	Lymphocyte antigen 96
6885	MAP3K7
390431	OR4K2
25788	RAD54B
23641	LDOC1
390437	OR4N5
6880	TAF9
390436	OR4K17
23640	HSPBP1
6881	TAF10
540	Wilson disease protein
2940	GSTA3
6879	TAF7
390439	OR11G2
6876	TAGLN
2944	Glutathione S-transferase Mu 1
63929	XPNPEP3
25780	RASGRP3
6875	TAF4B
1810	DR1 (gene)
6878	TAF6
546	ATRX
2941	GSTA4
1811	SLC26A3
6877	TAF5
545	Ataxia telangiectasia and Rad3 related
25782	RAB3GAP2
2948	GSTM4
1812	Dopamine receptor D1
547	KIF1A
2947	GSTM3
1813	Dopamine receptor D2
2946	GSTM2
1814	Dopamine receptor D3
1815	Dopamine receptor D4
1816	Dopamine receptor D5
1819	DRG2
23636	Nucleoporin 62
140576	S100A16
51497	TH1L
51495	PTPLAD1
6891	TAP2
6892	Tapasin
23630	KCNE1L
25777	UNC84B
25778	RIPK5
6890	TAP1
23632	CA14
6895	TARBP2
23633	KPNA6
25776	CBY1
140578	CHODL
6894	TARBP1
23635	SSBP2
513	ATP5D
1843	DUSP1
2975	GTF3C1
1844	DUSP2
6887	TAL2
2977	GUCY1A2
1841	DTYMK
1842	ECM2
6886	TAL1
2976	GTF3C2
2971	GTF3A
1840	DTX1
390429	OR4N2
2972	BRF1 (gene)
1849	DUSP7
518	ATP5G3
1847	DUSP5
2979	GUCA1B
517	ATP5G2
1848	DUSP6
2978	GUCA1A
516	ATP5G1
1845	DUSP3
515	ATP5F1
514	ATP5E
1846	DUSP4
23627	PRND
23620	Neurotensin receptor 2
347088	GPR144
23624	CBLC
23621	Beta-secretase 1
1830	Desmoglein 3
522	ATP5J
2966	GTF2H2
521	ATP5I
2965	GTF2H1
1831	TSC22D3
6897	TARS (gene)
1832	Desmoplakin
2963	GTF2F2
523	ATP6V1A
2962	GTF2F1
2961	GTF2E2
2960	GTF2E1
63908	NAPB
1838	DTNB
203068	TUBB
529	ATP6V1E1
1839	Heparin-binding EGF-like growth factor
1834	Dentin sialophosphoprotein (gene)
526	ATP6V1B2
525	ATP6V1B1
2969	GTF2I
2968	GTF2H4
1836	SLC26A2
528	ATP6V1C1
1837	DTNA
527	ATP6V0C
63967	CLSPN
10950	BTG3
571	BACH1
570	BAAT
10952	SEC61B
10951	CBX1
10953	TOMM34
10956	OS9 (gene)
10955	SERINC3
10957	PNRC1
140596	DEFB104A
10959	TMED2
2993	GYPA
575	Brain-specific angiogenesis inhibitor 1
2994	GYPB
572	Bcl-2-associated death promoter
573	BAG1
2996	GYPE
578	Bcl-2 homologous antagonist killer
576	Brain-specific angiogenesis inhibitor 2
577	Brain-specific angiogenesis inhibitor 3
2999	GZMH
63976	PRDM16
580	BARD1
10963	Hop (protein)
2990	GUSB
582	BBS1
10961	ERP29
581	Bcl-2-associated X protein
23683	PRKD3
10960	LMAN2
63973	NEUROG2
63971	KIF13A
10965	ACOT2
63970	P53AIP1
63036	CELA2A
10969	EBNA1BP2
2989	L-gulonolactone oxidase
147912	SIX5
583	BBS2
2983	GUCY1B3
2984	Guanylate cyclase 2C
23682	RAB38
585	BBS4
2982	GUCY1A3
2987	GUK1
588	BCGF1
23673	STX12
10972	TMED10
63941	APBA2BP
10971	YWHAQ
63943	FKBPL
10973	ASCC3
23677	SH3BP4
60598	KCNK15
10970	CKAP4
23678	SGK3
10979	FERMT2
1809	DPYSL3
1808	DPYSL2
8900	Cyclin A1
1807	DPYS
1806	DPYD
1805	Dermatopontin
1804	DPP6
729515	C6orf35
1803	Dipeptidyl peptidase-4
8904	CPNE1
8905	AP1S2
558	AXL receptor tyrosine kinase
8906	AP1G2
1801	DPH1
1800	Dipeptidase 1
8907	AP1M1
554	Arginine vasopressin receptor 2
552	Arginine vasopressin receptor 1A
553	Arginine vasopressin receptor 1B
550	AUP1
23671	TMEFF2
551	Vasopressin
10985	GCN1L1
10984	KCNQ1OT1
10983	CCNI (gene)
10982	MAPRE2
10980	COPS6
340706	VWA2
285601	GPR150
10989	IMMT
10988	METAP2
10987	COP9 constitutive photomorphogenic homolog subunit 5
8912	CACNA1H
8913	CACNA1G
8910	SGCE
8911	CACNA1I
8915	BCL10
566	Azurocidin 1
567	Beta-2 microglobulin
23660	ZKSCAN5
563	AZGP1
199857	ALG14
8929	PHOX2B
8928	FOXH1
8926	SNRPN upstream reading frame protein
8925	HERC1
8924	HERC2
8930	MBD4
145624	PAR1 (gene)
1894	ECT2
1892	ECHS1
93487	C14orf32
1893	ECM1
1896	EDA (gene)
8936	WASF1
8938	BAIAP3
8933	FAM127A
8932	Methyl-CpG-binding domain protein 2
8935	SKAP2
8940	TOP3B
8941	CDK5R2
8942	Kynureninase
6801	STRN
6804	STX1A
353500	Bone morphogenetic protein 8A
8945	BTRC (gene)
6809	Syntaxin 3
8943	AP3D1
126541	OR10H4
161582	DYX1C1
6812	STXBP1
6811	STX5
6810	STX4
6814	Syntaxin binding protein 3
6813	Syntaxin binding protein 2
326624	RAB37
6819	SULT1C2
6818	SULT1A3
6817	SULT1A1
326625	MMAB
60561	RINT1
2914	Metabotropic glutamate receptor 4
2915	Metabotropic glutamate receptor 5
1867	DYX1
219844	HYLS1
2912	Metabotropic glutamate receptor 2
8969	HIST1H2AG
1869	E2F1
2913	Metabotropic glutamate receptor 3
2918	Metabotropic glutamate receptor 8
8968	HIST1H3F
2919	CXCL1
6829	SUPT5H
2916	Metabotropic glutamate receptor 6
2917	Metabotropic glutamate receptor 7
60528	ELAC2
60529	ALX4
6827	SUPT4H1
1861	Torsin A
6820	SULT2B1
6821	Sulfite oxidase
2911	Metabotropic glutamate receptor 1
6822	Bile salt sulfotransferase
23613	ZMYND8
6830	SUPT6H
8975	USP13
8974	P4HA2
8973	CHRNA6
55715	DOK4
8972	Maltase-glucoamylase
8971	H1FX
55716	LMBR1L
23617	TSSK2
8970	HIST1H2BJ
23616	SH3BP1
55717	BRWD2
55718	POLR3E
90678	LRSAM1
1859	DYRK1A
2901	GRIK5
2902	GRIN1
506	ATP5B
1857	DVL3
2903	GRIN2A
1856	DVL2
2904	GRIN2B
509	ATP5C1
2905	GRIN2C
8976	WASL (gene)
2906	GRIN2D
6839	SUV39H1
2908	Glucocorticoid receptor
6837	MED22
6838	SURF6
6836	SURF4
6833	ABCC8
1855	DVL1
501	ALDH7A1
6834	SURF1
1854	DUT (gene)
6832	SUPV3L1
23600	AMACR
6840	SVIL
23601	CLEC5A
2909	GRLF1
23607	CD2AP
55704	CCDC88A
8986	RPS6KA4
8985	PLOD3
55707	NECAP2
23604	DAPK2
23603	CORO1C
55705	IPO9
55706	TMEM48
8989	Transient receptor potential cation channel, member A1
2938	Glutathione S-transferase A1
2939	GSTA2
4707	NDUFB1
2936	Glutathione reductase
4708	NDUFB2
1889	Endothelin converting enzyme 1
4705	NDUFA10
2934	Gelsolin
219865	OR8G5
2935	GSPT1
2932	GSK3B
4704	NDUFA9
6843	VAMP1
93436	ARMC6
6844	VAMP2
4702	NDUFA8
2931	GSK3A
6845	SYBL1
6847	SYCP1
4700	NDUFA6
60506	Nyctalopin
1890	ECGF1
1891	ECH1
6850	Syk
8993	PGLYRP1
8992	ATP6V0E1
8991	SELENBP1
219858	OR8B12
8997	Kalirin
8996	NOL3
8995	TNFSF18
8994	LIMD1
8999	CDKL2
219874	OR6T1
219873	OR10S1
4716	NDUFB10
4717	NDUFC1
219875	OR4D5
4718	NDUFC2
2925	Gastrin-releasing peptide receptor
1879	EBF1
4719	NDUFS1
4712	NDUFB6
6855	Synaptophysin
1877	E4F1
4713	NDUFB7
6856	SYPL1
6853	Synapsin I
4714	NDUFB8
1875	E2F5
6854	Synapsin 2
4715	NDUFB9
112858	TP53RK
2922	Gastrin-releasing peptide
1874	E2F4
6857	SYT1
1871	E2F3
219870	OR10G9
1870	E2F2
1880	GPR183
6863	TAC1
6862	Brachyury
6861	SYT5
6860	SYT4
219869	OR10G8
55749	CCAR1
55746	NUP133
117166	WFIKKN1
115761	ARL11
55742	PARVA
55741	EDEM2
55743	CHFR
55740	ENAH (gene)
4616	GADD45B
4615	Myd88
4613	N-Myc
4610	MYCL1
4619	MYH1
65251	ZNF649
57761	TRIB3
117159	Dermcidin
117157	SH2D1B
117155	CatSper2
55759	WDR12
117156	SCGB3A2
284086	NEK8
115752	DIS3L
117153	MIA2
55756	INTS9
55755	CDK5RAP2
55752	SEPT11
55750	AGK (gene)
4602	MYB (gene)
375133	PI4KAP2
4605	MYBL2
4604	MYBPC1
353345	GPR141
4601	MXI1
56647	BCCIP
56648	EIF5A2
4600	MX2
4607	Myosin binding protein C, cardiac
4609	Myc
55723	ASF1B
55726	C12orf11
55729	ATF7IP
4640	MYO1A
4641	MYO1C
55722	CEP72
4634	MYL3
4633	MYL2
4632	MYL1
56616	Diablo homolog
4638	MYLK
4637	MYL6
4635	MYL4
117177	RAB3IP
55737	VPS35
117178	SSX2IP
65267	WNK3
55735	DNAJC11
65268	WNK2
55734	ZFP64
81168	OR8J3
65266	WNK4
55739	CARKD
55738	ARFGAP1
143425	SYT9
4621	MYH3
4620	MYH2
4622	MYH4
4625	MYH7
4624	MYH6
4627	MYH9
4626	MYH8
116039	OSR2 (gene)
150094	SNF1LK
4629	MYH11
